# VS Code Extension API & Side Effects Analysis (AST-based)

Analyzed 12 extensions (11 with source code)
Generated: 2026-04-03T09:25:02.165Z

## 1. vscode API Methods & Properties

  ███████████ 11/11  vscode.workspace.getConfiguration                       [auto-rename-tag, code-runner, cpptools, eslint, gitlens, live-server, material-icon-theme, path-intellisense, prettier, python, rest-client]
  █████████░░  9/11  vscode.window.activeTextEditor                          [auto-rename-tag, code-runner, cpptools, eslint, gitlens, live-server, prettier, python, rest-client]
  █████████░░  9/11  vscode.workspace.workspaceFolders                       [auto-rename-tag, code-runner, cpptools, eslint, gitlens, live-server, path-intellisense, prettier, python]
  █████████░░  9/11  vscode.commands.registerCommand                         [code-runner, cpptools, eslint, gitlens, live-server, material-icon-theme, prettier, python, rest-client]
  ████████░░░  8/11  vscode.window.createOutputChannel                       [auto-rename-tag, code-runner, cpptools, gitlens, material-icon-theme, prettier, python, rest-client]
  ████████░░░  8/11  vscode.workspace.onDidChangeConfiguration               [auto-rename-tag, cpptools, eslint, gitlens, material-icon-theme, prettier, python, rest-client]
  ████████░░░  8/11  vscode.extensions.getExtension                          [auto-rename-tag, code-runner, cpptools, gitlens, live-server, material-icon-theme, python, rest-client]
  ████████░░░  8/11  vscode.commands.executeCommand                          [auto-rename-tag, code-runner, cpptools, eslint, gitlens, prettier, python, rest-client]
  ████████░░░  8/11  vscode.window.showInformationMessage                    [code-runner, cpptools, eslint, gitlens, live-server, material-icon-theme, python, rest-client]
  ████████░░░  8/11  vscode.window.showQuickPick                             [code-runner, cpptools, eslint, gitlens, live-server, material-icon-theme, python, rest-client]
  ████████░░░  8/11  vscode.workspace.getWorkspaceFolder                     [code-runner, cpptools, eslint, gitlens, path-intellisense, prettier, python, rest-client]
  ███████░░░░  7/11  vscode.workspace                                        [auto-rename-tag, code-runner, cpptools, eslint, path-intellisense, python, rest-client]
  ███████░░░░  7/11  vscode.window.onDidChangeActiveTextEditor               [auto-rename-tag, cpptools, eslint, gitlens, prettier, python, rest-client]
  ███████░░░░  7/11  vscode.Uri.file                                         [auto-rename-tag, cpptools, gitlens, path-intellisense, prettier, python, rest-client]
  ██████░░░░░  6/11  vscode.window.activeTextEditor.document                 [auto-rename-tag, cpptools, eslint, gitlens, live-server, rest-client]
  ██████░░░░░  6/11  vscode.workspace.fs                                     [auto-rename-tag, cpptools, gitlens, path-intellisense, prettier, python]
  ██████░░░░░  6/11  vscode.workspace.openTextDocument                       [auto-rename-tag, code-runner, cpptools, gitlens, python, rest-client]
  ██████░░░░░  6/11  vscode.window.showErrorMessage                          [cpptools, eslint, gitlens, live-server, python, rest-client]
  ██████░░░░░  6/11  vscode.Uri.parse                                        [cpptools, eslint, gitlens, prettier, python, rest-client]
  ██████░░░░░  6/11  vscode.window.showWarningMessage                        [cpptools, gitlens, live-server, prettier, python, rest-client]
  ██████░░░░░  6/11  vscode.workspace.createFileSystemWatcher                [cpptools, eslint, gitlens, path-intellisense, prettier, python]
  ██████░░░░░  6/11  vscode.window.createStatusBarItem                       [cpptools, gitlens, live-server, prettier, python, rest-client]
  ██████░░░░░  6/11  vscode.StatusBarAlignment.Right                         [cpptools, gitlens, live-server, prettier, python, rest-client]
  █████░░░░░░  5/11  vscode.workspace.onDidChangeTextDocument                [auto-rename-tag, cpptools, gitlens, python, rest-client]
  █████░░░░░░  5/11  vscode.window.showTextDocument                          [auto-rename-tag, cpptools, gitlens, python, rest-client]
  █████░░░░░░  5/11  vscode.window.createTerminal                            [code-runner, cpptools, eslint, gitlens, python]
  █████░░░░░░  5/11  vscode.env.openExternal                                 [cpptools, eslint, gitlens, python, rest-client]
  █████░░░░░░  5/11  vscode.window.showInputBox                              [cpptools, gitlens, material-icon-theme, python, rest-client]
  █████░░░░░░  5/11  vscode.window.showOpenDialog                            [cpptools, gitlens, prettier, python, rest-client]
