═══ cpptools ═══
Files analyzed: 161

Activation Events:
  (none / uses *)

Contributes:

Namespaces (by usage count):
    161x  vscode.window
    128x  vscode.workspace
    113x  vscode.commands
     33x  vscode.languages
     16x  vscode.env
      7x  vscode.debug
      6x  vscode.extensions
      6x  vscode.tasks
      1x  vscode.lm

API Methods (by usage count):
     68x  vscode.commands.registerCommand
     48x  vscode.workspace.workspaceFolders
     41x  vscode.commands.executeCommand
     30x  vscode.window.activeTextEditor
     26x  vscode.window.showErrorMessage
     21x  vscode.workspace.getWorkspaceFolder
     20x  vscode.window.showInformationMessage
     18x  vscode.window.showTextDocument
     16x  vscode.workspace.getConfiguration
     14x  vscode.window.showQuickPick
     13x  vscode.workspace.openTextDocument
     13x  vscode.workspace.applyEdit
     10x  vscode.window.showWarningMessage
      8x  vscode.window.createOutputChannel
      7x  vscode.window.visibleTextEditors
      6x  vscode.env.machineId
      4x  vscode.window.withProgress
      4x  vscode.window.createTerminal
      4x  vscode.languages.createDiagnosticCollection
      4x  vscode.languages.setTextDocumentLanguage
      4x  vscode.workspace.createFileSystemWatcher
      4x  vscode.extensions.getExtension
      4x  vscode.tasks.json
      3x  vscode.commands.registerTextEditorCommand
      3x  vscode.workspace.onDidChangeConfiguration
      3x  vscode.window.showInputBox
      3x  vscode.env.clipboard
      3x  vscode.tasks.find
      3x  vscode.tasks.onDidEndTask
      3x  vscode.languages.setLanguageConfiguration
      3x  vscode.languages.createLanguageStatusItem
      3x  vscode.window.createStatusBarItem
      2x  vscode.window.createQuickPick
      2x  vscode.env.openExternal
      2x  vscode.debug.registerDebugConfigurationProvider
      2x  vscode.debug.registerDebugAdapterDescriptorFactory
      2x  vscode.env.remoteName
      2x  vscode.languages.registerHoverProvider
      2x  vscode.languages.registerCodeActionsProvider
      2x  vscode.languages.registerDocumentSemanticTokensProvider
      2x  vscode.workspace.onDidChangeTextDocument
      2x  vscode.workspace.onDidOpenTextDocument
      2x  vscode.workspace.textDocuments
      2x  vscode.tasks.onDidStartTask
      2x  vscode.window.onDidCloseTerminal
      2x  vscode.window.onDidWriteTerminalData
      1x  vscode.debug.startDebugging
      1x  vscode.languages.registerCompletionItemProvider
      1x  vscode.window.registerTreeDataProvider
      1x  vscode.window.showOpenDialog
      1x  vscode.languages.registerInlayHintsProvider
      1x  vscode.languages.registerRenameProvider
      1x  vscode.languages.registerReferenceProvider
      1x  vscode.languages.registerWorkspaceSymbolProvider
      1x  vscode.languages.registerDocumentSymbolProvider
      1x  vscode.languages.registerCallHierarchyProvider
      1x  vscode.languages.registerDocumentFormattingEditProvider
      1x  vscode.languages.registerDocumentRangeFormattingEditProvider
      1x  vscode.languages.registerOnTypeFormattingEditProvider
      1x  vscode.languages.registerFoldingRangeProvider
      1x  vscode.debug.activeDebugSession
      1x  vscode.window.createTextEditorDecorationType
      1x  vscode.workspace.onDidChangeWorkspaceFolders
      1x  vscode.workspace.onDidCloseTextDocument
      1x  vscode.workspace.onDidSaveTextDocument
      1x  vscode.tasks.forEach
      1x  vscode.tasks.push
      1x  vscode.tasks.executeTask
      1x  vscode.env.uiKind
      1x  vscode.extensions.all
      1x  vscode.window.onDidChangeTextEditorVisibleRanges
      1x  vscode.window.onDidChangeActiveTextEditor
      1x  vscode.window.onDidChangeTextEditorSelection
      1x  vscode.window.onDidChangeVisibleTextEditors
      1x  vscode.lm.registerTool
      1x  vscode.languages.getDiagnostics
      1x  vscode.window.createTreeView
      1x  vscode.window.createWebviewPanel
      1x  vscode.window.onDidChangeWindowState
      1x  vscode.window.createInputBox
      1x  vscode.workspace.fs
      1x  vscode.workspace.registerTextDocumentContentProvider
      1x  vscode.tasks.registerTaskProvider
      1x  vscode.env.appName

Types/Classes (by usage count):
    174x  vscode.Uri
     88x  vscode.CancellationToken
     73x  vscode.TextDocument
     67x  vscode.Range
     57x  vscode.Event
     46x  vscode.TextEditor
     44x  vscode.WorkspaceFolder
     44x  vscode.Position
     42x  vscode.CancellationError
     40x  vscode.Disposable
     40x  vscode.WorkspaceEdit
     31x  vscode.Diagnostic
     28x  vscode.TextEdit
     27x  vscode.ViewColumn
     26x  vscode.CodeAction
     23x  vscode.EventEmitter
     22x  vscode.OnEnterRule
     20x  vscode.InlayHint
     18x  vscode.CodeActionKind
     15x  vscode.OutputChannel
     14x  vscode.CancellationTokenSource
     13x  vscode.WorkspaceConfiguration
     12x  vscode.Hover
     12x  vscode.TreeItem
     11x  vscode.MarkdownString
     11x  vscode.DiagnosticSeverity
     10x  vscode.QuickPickItem
     10x  vscode.CompletionItem
     10x  vscode.ConfigurationTarget
      9x  vscode.Selection
      9x  vscode.Location
      9x  vscode.LanguageStatusItem
      9x  vscode.StatusBarItem
      8x  vscode.IndentAction
      7x  vscode.QuickPickOptions
      7x  vscode.DebugConfiguration
      7x  vscode.ExtensionContext
      7x  vscode.CallHierarchyItem
      7x  vscode.FoldingRange
      7x  vscode.SemanticTokensBuilder
      6x  vscode.CallHierarchyIncomingCall
      6x  vscode.CallHierarchyOutgoingCall
      6x  vscode.FormattingOptions
      6x  vscode.DocumentSymbol
      6x  vscode.SemanticTokens
      5x  vscode.DebugAdapterExecutable
      5x  vscode.ConfigurationChangeEvent
      5x  vscode.SymbolInformation
      5x  vscode.TreeItemCollapsibleState
      4x  vscode.DiagnosticCollection
      4x  vscode.TextDocumentChangeEvent
      3x  vscode.ProgressLocation
      3x  vscode.MessageItem
      3x  vscode.DebugSession
      3x  vscode.DebugAdapterDescriptor
      3x  vscode.TextEditorEdit
      3x  vscode.Terminal
      3x  vscode.LanguageModelChat
      3x  vscode.SymbolKind
      3x  vscode.Command
      3x  vscode.FoldingRangeKind
      3x  vscode.DiagnosticRelatedInformation
      3x  vscode.QuickPickItemKind
      3x  vscode.Progress
      3x  vscode.StatusBarAlignment
      2x  vscode.QuickPick
      2x  vscode.CompletionList
      2x  vscode.DebugConfigurationProviderTriggerKind
      2x  vscode.DocumentSelector
      2x  vscode.HoverProvider
      2x  vscode.CodeActionContext
      2x  vscode.TextLine
      2x  vscode.InlayHintKind
      2x  vscode.SemanticTokensLegend
      2x  vscode.FileSystemWatcher
      2x  vscode.EndOfLine
      2x  vscode.TaskScope
      2x  vscode.LanguageModelError
      2x  vscode.LanguageConfiguration
      2x  vscode.LanguageModelToolResult
      2x  vscode.Memento
      2x  vscode.TreeDataProvider
      2x  vscode.TerminalOptions
      1x  vscode.QuickInputButton
      1x  vscode.DebugConfigurationProvider
      1x  vscode.CompletionItemKind
      1x  vscode.CompletionItemProvider
      1x  vscode.CompletionContext
      1x  vscode.DebugAdapterDescriptorFactory
      1x  vscode.ProviderResult
      1x  vscode.CallHierarchyProvider
      1x  vscode.CodeActionProvider
      1x  vscode.DocumentFormattingEditProvider
      1x  vscode.DocumentRangeFormattingEditProvider
      1x  vscode.DocumentSymbolProvider
      1x  vscode.ReferenceProvider
      1x  vscode.ReferenceContext
      1x  vscode.FoldingRangeProvider
      1x  vscode.FoldingContext
      1x  vscode.InlayHintsProvider
      1x  vscode.OnTypeFormattingEditProvider
      1x  vscode.RenameProvider
      1x  vscode.WorkspaceEditEntryMetadata
      1x  vscode.DocumentSemanticTokensProvider
      1x  vscode.WorkspaceSymbolProvider
      1x  vscode.TextEditorDecorationType
      1x  vscode.TextDocumentSaveReason
      1x  vscode.DecorationRangeBehavior
      1x  vscode.WorkspaceFoldersChangeEvent
      1x  vscode.EnvironmentVariableMutator
      1x  vscode.UIKind
      1x  vscode.Extension
      1x  vscode.TextEditorVisibleRangesChangeEvent
      1x  vscode.TextEditorSelectionChangeEvent
      1x  vscode.LanguageModelChatMessage
      1x  vscode.LanguageModelChatResponse
      1x  vscode.LanguageModelTool
      1x  vscode.LanguageModelToolInvocationOptions
      1x  vscode.LanguageModelTextPart
      1x  vscode.ProgressOptions
      1x  vscode.ThemeIcon
      1x  vscode.WebviewPanel
      1x  vscode.WebviewPanelOnDidChangeViewStateEvent
      1x  vscode.WindowState
      1x  vscode.ThemeColor
      1x  vscode.InputBox
      1x  vscode.TerminalDataWriteEvent
      1x  vscode.TextDocumentContentProvider

Event Subscriptions:
      3x  vscode.workspace.onDidChangeConfiguration
      2x  vscode.workspace.onDidChangeTextDocument
      2x  vscode.workspace.onDidOpenTextDocument
      2x  vscode.tasks.onDidStartTask
      2x  vscode.tasks.onDidEndTask
      2x  vscode.window.onDidCloseTerminal
      2x  vscode.window.onDidWriteTerminalData
      1x  vscode.workspace.onDidChangeWorkspaceFolders
      1x  vscode.workspace.onDidCloseTextDocument
      1x  vscode.workspace.onDidSaveTextDocument
      1x  vscode.window.onDidChangeTextEditorVisibleRanges
      1x  vscode.window.onDidChangeActiveTextEditor
      1x  vscode.window.onDidChangeTextEditorSelection
      1x  vscode.window.onDidChangeVisibleTextEditors
      1x  vscode.window.onDidChangeWindowState

Destructured Imports:
      1x  CustomExecution
      1x  Disposable
      1x  Event
      1x  EventEmitter
      1x  ProcessExecution
      1x  Pseudoterminal
      1x  ShellExecution
      1x  Task
      1x  TaskDefinition
      1x  TaskEndEvent
      1x  TaskExecution
      1x  TaskGroup
      1x  TaskProvider
      1x  tasks
      1x  TaskScope
      1x  TerminalDimensions
      1x  TextEditor
      1x  window
      1x  workspace
