# cpptools - Full API & Side Effects Report (AST)
Files analyzed: 161

## vscode API
    155x  vscode.window
    125x  vscode.workspace
    113x  vscode.commands
     68x  vscode.commands.registerCommand
     63x  vscode.Uri
     48x  vscode.workspace.workspaceFolders
     41x  vscode.Uri.file
     41x  vscode.commands.executeCommand
     39x  vscode.CancellationError
     33x  vscode.languages
     30x  vscode.window.activeTextEditor
     30x  vscode.Range
     25x  vscode.window.showErrorMessage
     21x  vscode.workspace.getWorkspaceFolder
     20x  vscode.EventEmitter
     20x  vscode.Position
     19x  vscode.Uri.parse
     19x  vscode.window.showInformationMessage
     18x  vscode.window.showTextDocument
     18x  vscode.WorkspaceEdit
     16x  vscode.workspace.workspaceFolders.length
     16x  vscode.env
     16x  vscode.workspace.getConfiguration
     14x  vscode.window.showQuickPick
     14x  vscode.CodeActionKind
     13x  vscode.workspace.openTextDocument
     13x  vscode.workspace.applyEdit
     12x  vscode.CodeActionKind.QuickFix
     11x  vscode.Diagnostic
      9x  vscode.window.showWarningMessage
      8x  vscode.window.createOutputChannel
      8x  vscode.DiagnosticSeverity.Warning
      8x  vscode.DiagnosticSeverity
      8x  vscode.IndentAction
      8x  vscode.ConfigurationTarget
      7x  vscode.debug
      7x  vscode.CancellationTokenSource
      7x  vscode.window.visibleTextEditors
      7x  vscode.ViewColumn
      7x  vscode.IndentAction.None
      6x  vscode.Selection
      6x  vscode.extensions
      6x  vscode.ViewColumn.Active
      6x  vscode.env.machineId
      5x  vscode.Hover
      5x  vscode.SemanticTokensBuilder
      5x  vscode.window.activeTextEditor.document
      5x  vscode.tasks
      5x  vscode.TreeItemCollapsibleState
      4x  vscode.window.withProgress
      4x  vscode.window.createTerminal
      4x  vscode.MarkdownString
      4x  vscode.languages.createDiagnosticCollection
      4x  vscode.languages.setTextDocumentLanguage
      4x  vscode.TextEdit
      4x  vscode.Disposable.from
      4x  vscode.Disposable
      4x  vscode.extensions.getExtension
      4x  vscode.TreeItem
      3x  vscode.ProgressLocation.Notification
      3x  vscode.ProgressLocation
      3x  vscode.commands.registerTextEditorCommand
      3x  vscode.workspace.onDidChangeConfiguration
      3x  vscode.window.showInputBox
      3x  vscode.Location
      3x  vscode.FoldingRangeKind
      3x  vscode.window.visibleTextEditors.find
      3x  vscode.DiagnosticRelatedInformation
      3x  vscode.QuickPickItemKind.Separator
      3x  vscode.QuickPickItemKind
      3x  vscode.window.visibleTextEditors.filter
      3x  vscode.env.clipboard.writeText
      3x  vscode.env.clipboard
      3x  vscode.TaskScope.Workspace
      3x  vscode.tasks.onDidEndTask
      3x  vscode.languages.setLanguageConfiguration
      3x  vscode.TreeItemCollapsibleState.None
      3x  vscode.ConfigurationTarget.WorkspaceFolder
      3x  vscode.ConfigurationTarget.Global
      3x  vscode.languages.createLanguageStatusItem
      3x  vscode.window.createStatusBarItem
      3x  vscode.StatusBarAlignment.Right
      3x  vscode.StatusBarAlignment
      2x  vscode.window.createQuickPick
      2x  vscode.env.openExternal
      2x  vscode.DebugAdapterExecutable
      2x  vscode.debug.registerDebugConfigurationProvider
      2x  vscode.DebugConfigurationProviderTriggerKind.Dynamic
      2x  vscode.DebugConfigurationProviderTriggerKind
