# gitlens - Full API & Side Effects Report (AST)
Files analyzed: 1101

## vscode API
    128x  vscode.window.showErrorMessage
     87x  vscode.Disposable.from
     83x  vscode.Uri.file
     76x  vscode.Uri.parse
     75x  vscode.window.showWarningMessage
     62x  vscode.window.showInformationMessage
     48x  vscode.window.withProgress
     44x  vscode.TreeItemCollapsibleState.Collapsed
     43x  vscode.ProgressLocation.Notification
     42x  vscode.workspace.fs
     39x  vscode.Uri.joinPath
     38x  vscode.window.activeTextEditor
     38x  vscode.TreeItemCollapsibleState.Expanded
     30x  vscode.env.clipboard
     26x  vscode.env.clipboard.writeText
     24x  vscode.window.tabGroups
     22x  vscode.TreeItemCollapsibleState.None
     21x  vscode.window.createQuickPick
     18x  vscode.workspace.workspaceFolders
     18x  vscode.ViewColumn.Beside
     16x  vscode.window.activeColorTheme
     15x  vscode.window.showQuickPick
     15x  vscode.workspace.fs.stat
     14x  vscode.window.activeColorTheme.kind
     14x  vscode.commands.executeCommand
     14x  vscode.env.uriScheme
     14x  vscode.workspace.getConfiguration
     13x  vscode.ConfigurationTarget.Global
     13x  vscode.env.appName
     13x  vscode.workspace.fs.readFile
     13x  vscode.ColorThemeKind.Dark
     12x  vscode.window.visibleTextEditors
     12x  vscode.QuickInputButtons.Back
     12x  vscode.workspace.isTrusted
     10x  vscode.window.showOpenDialog
     10x  vscode.workspace.getWorkspaceFolder
     10x  vscode.workspace.fs.writeFile
     10x  vscode.workspace.name
      9x  vscode.ViewColumn.Active
      9x  vscode.workspace.id
      8x  vscode.window.createTextEditorDecorationType
      8x  vscode.window.tabGroups.all
      8x  vscode.workspace.workspaceFolders.length
      8x  vscode.window.createInputBox
      8x  vscode.Uri.from
      8x  vscode.env.appRoot
      7x  vscode.FileType.Directory
      7x  vscode.extensions.getExtension
      7x  vscode.window.onDidChangeWindowState
      7x  vscode.window.tabGroups.activeTabGroup
      6x  vscode.window.onDidChangeActiveTextEditor
      6x  vscode.env.openExternal
      6x  vscode.window.state
      6x  vscode.window.createStatusBarItem
      6x  vscode.workspace.provider
      5x  vscode.workspace.onDidCloseTextDocument
      5x  vscode.window.tabGroups.close
      5x  vscode.workspace.openTextDocument
      5x  vscode.window.showTextDocument
      5x  vscode.window.state.focused
      5x  vscode.FileType.File
      5x  vscode.env.language
      5x  vscode.FileSystemError.NoPermissions
      5x  vscode.window.tabGroups.activeTabGroup.activeTab
      5x  vscode.env.asExternalUri
      5x  vscode.StatusBarAlignment.Left
      5x  vscode.StatusBarAlignment.Right
      5x  vscode.workspace.workspaceFile
      5x  vscode.workspace.getRepositoryDescriptors
      5x  vscode.ThemeIcon.File
      5x  vscode.workspace.applyEdit
      4x  vscode.languages.registerHoverProvider
      4x  vscode.window.visibleTextEditors.some
      4x  vscode.SymbolKind.File
      4x  vscode.env.clipboard.readText
      4x  vscode.window.showInputBox
      4x  vscode.env.machineId
      4x  vscode.authentication.onDidChangeSessions
      4x  vscode.workspace.localId
      4x  vscode.ThemeIcon.Folder
      4x  vscode.ConfigurationTarget.Workspace
      4x  vscode.env.remoteName
      3x  vscode.window.tabGroups.onDidChangeTabs
      3x  vscode.ColorThemeKind.Light
      3x  vscode.OverviewRulerLane.Left
      3x  vscode.TextEditorRevealType.InCenterIfOutsideViewport
      3x  vscode.window.activeTextEditor.document
      3x  vscode.ExtensionMode.Development
      3x  vscode.workspace.decode
      3x  vscode.cursor.mcp
      3x  vscode.env.sessionId
      3x  vscode.workspace.onDidGrantWorkspaceTrust
      3x  vscode.FileSystemError.FileNotFound
      3x  vscode.env.appHost
      3x  vscode.workspace.setLocalPath
      3x  vscode.workspace.localPath
      3x  vscode.commands.registerCommand
      3x  vscode.ConfigurationTarget.WorkspaceFolder
      3x  vscode.workspace.onDidChangeTextDocument
      2x  vscode.window.onDidChangeTextEditorSelection
      2x  vscode.window.onDidChangeActiveColorTheme
      2x  vscode.window.onDidChangeVisibleTextEditors
      2x  vscode.ColorThemeKind.HighContrast
      2x  vscode.DecorationRangeBehavior.OpenOpen
      2x  vscode.window.onDidChangeTextEditorVisibleRanges
      2x  vscode.SymbolKind.Package
      2x  vscode.SymbolKind.Class
      2x  vscode.SymbolKind.Interface
      2x  vscode.SymbolKind.Module
      2x  vscode.SymbolKind.Namespace
      2x  vscode.SymbolKind.Constructor
      2x  vscode.SymbolKind.Enum
      2x  vscode.SymbolKind.Function
      2x  vscode.SymbolKind.Method
      2x  vscode.InputBoxValidationSeverity.Error
      2x  vscode.window.createOutputChannel
      2x  vscode.workspace.fs.delete
      2x  vscode.cursor.mcp.registerServer
      2x  vscode.lm.registerMcpServerDefinitionProvider
      2x  vscode.env.uiKind
      2x  vscode.workspace.onDidChangeWorkspaceFolders
      2x  vscode.lm.selectChatModels
      2x  vscode.workspace.organization.id
      2x  vscode.workspace.organization
      2x  vscode.workspace.current
      2x  vscode.workspace.updateWorkspaceFolders
